Weekday,Date,Time,Day,Month,Year
Sunday, 16 January 1938, 06:53:18 am,16,1,1938
Monday, 14 February 1938, 06:14:24 pm,14,2,1938
Wednesday, 16 March 1938, 06:15:06 am,16,3,1938
Thursday, 14 April 1938, 07:20:48 pm,14,5,1938
Saturday, 14 May 1938, 09:38:54 am,14,5,1938
Monday, 13 June 1938, 12:47:00 am,13,6,1938
Tuesday, 12 July 1938, 04:04:30 pm,12,7,1938
Thursday, 11 August 1938, 06:56:48 am,11,8,1938
Friday, 9 September 1938, 09:08:06 pm,9,9,1938
Sunday, 9 October 1938, 10:37:00 am,9,10,1938
Monday, 7 November 1938, 11:23:24 pm,7,11,1938
Wednesday, 7 December 1938, 11:22:06 am,7,12,1938
Thursday, 5 January 1939, 10:29:42 pm,5,1,1939
Saturday, 4 February 1939, 08:54:36 am,4,2,1939
Sunday, 5 March 1939, 07:00:24 pm,5,3,1939
Tuesday, 4 April 1939, 05:18:00 am,4,5,1939
Wednesday, 3 May 1939, 04:15:18 pm,3,5,1939
Friday, 2 June 1939, 04:10:54 am,2,6,1939
Saturday, 1 July 1939, 05:16:00 pm,1,7,1939
Monday, 31 July 1939, 07:36:30 am,31,7,1939
Tuesday, 29 August 1939, 11:08:36 pm,29,8,1939
Thursday, 28 September 1939, 03:27:00 pm,28,9,1939
Saturday, 28 October 1939, 07:41:36 am,28,10,1939
Sunday, 26 November 1939, 10:54:18 pm,26,11,1939
Tuesday, 26 December 1939, 12:28:24 pm,26,12,1939
Thursday, 25 January 1940, 12:21:54 am,25,1,1940
Friday, 23 February 1940, 10:55:24 am,23,2,1940
Saturday, 23 March 1940, 08:33:12 pm,23,3,1940
Monday, 22 April 1940, 06:36:54 am,22,5,1940
Tuesday, 21 May 1940, 03:32:54 pm,21,5,1940
Thursday, 20 June 1940, 01:01:36 am,20,6,1940
Friday, 19 July 1940, 11:55:18 am,19,7,1940
Sunday, 18 August 1940, 01:02:24 am,18,8,1940
Monday, 16 September 1940, 04:40:42 pm,16,9,1940
Wednesday, 16 October 1940, 10:14:54 am,16,10,1940
Friday, 15 November 1940, 04:23:12 am,15,11,1940
Saturday, 14 December 1940, 09:37:36 pm,14,12,1940
Monday, 13 January 1941, 01:04:00 pm,13,1,1941
Wednesday, 12 February 1941, 02:26:24 am,12,2,1941
Thursday, 13 March 1941, 01:46:42 pm,13,3,1941
Friday, 11 April 1941, 11:15:00 pm,11,5,1941
Sunday, 11 May 1941, 07:15:18 am,11,5,1941
Monday, 9 June 1941, 02:34:00 pm,9,6,1941
Tuesday, 8 July 1941, 10:17:18 pm,8,7,1941
Thursday, 7 August 1941, 07:38:18 am,7,8,1941
Friday, 5 September 1941, 07:35:54 pm,5,9,1941
Sunday, 5 October 1941, 10:32:12 am,5,10,1941
Tuesday, 4 November 1941, 03:59:42 am,4,11,1941
Wednesday, 3 December 1941, 10:50:54 pm,3,12,1941
Friday, 2 January 1942, 05:41:42 pm,2,1,1942
Sunday, 1 February 1942, 11:12:18 am,1,2,1942
Tuesday, 3 March 1942, 02:19:48 am,3,3,1942
Wednesday, 1 April 1942, 02:32:12 pm,1,5,1942
Thursday, 30 April 1942, 11:59:30 pm,30,5,1942
Saturday, 30 May 1942, 07:28:54 am,30,5,1942
Sunday, 28 June 1942, 02:09:18 pm,28,6,1942
Monday, 27 July 1942, 09:13:36 pm,27,7,1942
Wednesday, 26 August 1942, 05:46:06 am,26,8,1942
Thursday, 24 September 1942, 04:34:06 pm,24,9,1942
Saturday, 24 October 1942, 06:05:18 am,24,10,1942
Sunday, 22 November 1942, 09:24:12 pm,22,11,1942
Tuesday, 22 December 1942, 04:03:06 pm,22,12,1942
Thursday, 21 January 1943, 11:47:48 am,21,1,1943
Saturday, 20 February 1943, 06:44:42 am,20,2,1943
Sunday, 21 March 1943, 11:08:00 pm,21,3,1943
Tuesday, 20 April 1943, 01:10:30 pm,20,5,1943
Wednesday, 19 May 1943, 11:12:48 pm,19,5,1943
Friday, 18 June 1943, 07:14:00 am,18,6,1943
Saturday, 17 July 1943, 02:21:30 pm,17,7,1943
Sunday, 15 August 1943, 09:33:54 pm,15,8,1943
Tuesday, 14 September 1943, 05:39:36 am,14,9,1943
Wednesday, 13 October 1943, 02:22:36 pm,13,10,1943
Friday, 12 November 1943, 02:26:36 am,12,11,1943
Saturday, 11 December 1943, 05:24:24 pm,11,12,1943
Monday, 10 January 1944, 11:09:18 am,10,1,1944
Wednesday, 9 February 1944, 06:29:30 am,9,2,1944
Friday, 10 March 1944, 01:27:36 am,10,3,1944
Saturday, 8 April 1944, 07:21:36 pm,8,5,1944
Monday, 8 May 1944, 09:28:06 am,8,5,1944
Tuesday, 6 June 1944, 08:57:36 pm,6,6,1944
Thursday, 6 July 1944, 06:26:42 am,6,7,1944
Friday, 4 August 1944, 02:39:12 pm,4,8,1944
Saturday, 2 September 1944, 10:20:54 pm,2,9,1944
Monday, 2 October 1944, 05:21:42 am,2,10,1944
Tuesday, 31 October 1944, 02:35:24 pm,31,10,1944
Thursday, 30 November 1944, 01:51:42 am,30,11,1944
Friday, 29 December 1944, 03:38:06 pm,29,12,1944
Sunday, 28 January 1945, 07:41:06 am,28,1,1945
Tuesday, 27 February 1945, 01:06:42 am,27,2,1945
Wednesday, 28 March 1945, 06:44:24 pm,28,3,1945
Friday, 27 April 1945, 12:32:42 pm,27,5,1945
Sunday, 27 May 1945, 04:48:48 am,27,5,1945
Monday, 25 June 1945, 06:07:54 pm,25,6,1945
Wednesday, 25 July 1945, 05:25:30 am,25,7,1945
Thursday, 23 August 1945, 03:02:54 pm,23,8,1945
Friday, 21 September 1945, 11:45:36 pm,21,9,1945
Sunday, 21 October 1945, 07:31:42 am,21,10,1945
Monday, 19 November 1945, 04:12:48 pm,19,11,1945
Wednesday, 19 December 1945, 03:17:24 am,19,12,1945
Thursday, 17 January 1946, 03:46:30 pm,17,1,1946
Saturday, 16 February 1946, 05:27:48 am,16,2,1946
Sunday, 17 March 1946, 08:11:00 pm,17,3,1946
Tuesday, 16 April 1946, 12:47:00 pm,16,5,1946
Thursday, 16 May 1946, 04:52:30 am,16,5,1946
Friday, 14 June 1946, 08:41:36 pm,14,6,1946
Sunday, 14 July 1946, 11:22:36 am,14,7,1946
Tuesday, 13 August 1946, 12:25:48 am,13,8,1946
Wednesday, 11 September 1946, 11:59:24 am,11,9,1946
Thursday, 10 October 1946, 09:40:24 pm,10,10,1946
Saturday, 9 November 1946, 08:10:12 am,9,11,1946
Sunday, 8 December 1946, 06:52:00 pm,8,12,1946
Tuesday, 7 January 1947, 05:46:42 am,7,1,1947
Wednesday, 5 February 1947, 04:50:24 pm,5,2,1947
Friday, 7 March 1947, 04:15:06 am,7,3,1947
Saturday, 5 April 1947, 04:28:18 pm,5,5,1947
Monday, 5 May 1947, 06:53:12 am,5,5,1947
Tuesday, 3 June 1947, 10:26:42 pm,3,6,1947
Thursday, 3 July 1947, 12:38:30 pm,3,7,1947
Saturday, 2 August 1947, 03:49:54 am,2,8,1947
Sunday, 31 August 1947, 06:34:00 pm,31,8,1947
Tuesday, 30 September 1947, 08:40:48 am,30,9,1947
Wednesday, 29 October 1947, 09:06:48 pm,29,10,1947
Friday, 28 November 1947, 09:45:12 am,28,11,1947
Saturday, 27 December 1947, 09:26:54 pm,27,12,1947
Monday, 26 January 1948, 08:11:24 am,26,1,1948
Tuesday, 24 February 1948, 06:15:36 pm,24,2,1948
Thursday, 25 March 1948, 04:10:06 am,25,3,1948
Friday, 23 April 1948, 03:28:18 pm,23,5,1948
Sunday, 23 May 1948, 02:37:00 am,23,5,1948
Monday, 21 June 1948, 02:54:00 pm,21,6,1948
Wednesday, 21 July 1948, 04:31:00 am,21,7,1948
Thursday, 19 August 1948, 07:31:42 pm,19,8,1948
Saturday, 18 September 1948, 11:42:48 am,18,9,1948
Monday, 18 October 1948, 03:23:24 am,18,10,1948
Tuesday, 16 November 1948, 07:31:24 pm,16,11,1948
Thursday, 16 December 1948, 10:10:54 am,16,12,1948
Friday, 14 January 1949, 10:59:30 pm,14,1,1949
Sunday, 13 February 1949, 10:08:12 am,13,2,1949
Monday, 14 March 1949, 08:02:48 pm,14,3,1949
Wednesday, 13 April 1949, 06:08:24 am,13,5,1949
Thursday, 12 May 1949, 02:50:48 pm,12,5,1949
Friday, 10 June 1949, 11:45:12 pm,10,6,1949
Sunday, 10 July 1949, 09:41:06 am,10,7,1949
Monday, 8 August 1949, 09:33:12 pm,8,8,1949
Wednesday, 7 September 1949, 11:59:18 am,7,9,1949
Friday, 7 October 1949, 03:52:36 am,7,10,1949
Saturday, 5 November 1949, 10:09:00 pm,5,11,1949
Monday, 5 December 1949, 04:13:30 pm,5,12,1949
Wednesday, 4 January 1950, 08:47:48 am,4,1,1950
Thursday, 2 February 1950, 11:16:06 pm,2,2,1950
Saturday, 4 March 1950, 11:33:48 am,4,3,1950
Sunday, 2 April 1950, 09:48:48 pm,2,5,1950
Tuesday, 2 May 1950, 06:19:30 am,2,5,1950
Wednesday, 31 May 1950, 01:43:00 pm,31,5,1950
Thursday, 29 June 1950, 08:58:06 pm,29,6,1950
Saturday, 29 July 1950, 05:17:36 am,29,7,1950
Sunday, 27 August 1950, 03:50:54 pm,27,8,1950
Tuesday, 26 September 1950, 05:21:24 am,26,9,1950
Wednesday, 25 October 1950, 09:46:24 pm,25,10,1950
Friday, 24 November 1950, 04:14:06 pm,24,11,1950
Sunday, 24 December 1950, 11:22:54 am,24,12,1950
Tuesday, 23 January 1951, 05:47:00 am,23,1,1951
Wednesday, 21 February 1951, 10:12:12 pm,21,2,1951
Friday, 23 March 1951, 11:49:48 am,23,3,1951
Saturday, 21 April 1951, 10:29:54 pm,21,5,1951
Monday, 21 May 1951, 06:44:42 am,21,5,1951
Tuesday, 19 June 1951, 01:35:54 pm,19,6,1951
Wednesday, 18 July 1951, 08:17:24 pm,18,7,1951
Friday, 17 August 1951, 03:59:24 am,17,8,1951
Saturday, 15 September 1951, 01:38:24 pm,15,9,1951
Monday, 15 October 1951, 01:50:54 am,15,10,1951
Tuesday, 13 November 1951, 04:52:06 pm,13,11,1951
Thursday, 13 December 1951, 10:30:24 am,13,12,1951
Saturday, 12 January 1952, 05:55:00 am,12,1,1952
Monday, 11 February 1952, 01:28:12 am,11,2,1952
Tuesday, 11 March 1952, 07:13:54 pm,11,3,1952
Thursday, 10 April 1952, 09:53:12 am,10,5,1952
Friday, 9 May 1952, 09:15:48 pm,9,5,1952
Sunday, 8 June 1952, 06:06:54 am,8,6,1952
Monday, 7 July 1952, 01:33:30 pm,7,7,1952
Tuesday, 5 August 1952, 08:40:00 pm,5,8,1952
Thursday, 4 September 1952, 04:19:18 am,4,9,1952
Friday, 3 October 1952, 01:15:12 pm,3,10,1952
Sunday, 2 November 1952, 12:09:42 am,2,11,1952
Monday, 1 December 1952, 01:41:24 pm,1,12,1952
Wednesday, 31 December 1952, 06:05:36 am,31,12,1952
Friday, 30 January 1953, 12:44:12 am,30,1,1953
Saturday, 28 February 1953, 07:58:42 pm,28,2,1953
Monday, 30 March 1953, 01:54:54 pm,30,3,1953
Wednesday, 29 April 1953, 05:20:24 am,29,5,1953
Thursday, 28 May 1953, 06:02:54 pm,28,5,1953
Saturday, 27 June 1953, 04:29:18 am,27,6,1953
Sunday, 26 July 1953, 01:20:36 pm,26,7,1953
Monday, 24 August 1953, 09:20:42 pm,24,8,1953
Wednesday, 23 September 1953, 05:15:36 am,23,9,1953
Thursday, 22 October 1953, 01:55:42 pm,22,10,1953
Saturday, 21 November 1953, 12:12:06 am,21,11,1953
Sunday, 20 December 1953, 12:43:30 pm,20,12,1953
Tuesday, 19 January 1954, 03:36:48 am,19,1,1954
Wednesday, 17 February 1954, 08:17:18 pm,17,2,1954
Friday, 19 March 1954, 01:42:24 pm,19,3,1954
Sunday, 18 April 1954, 06:48:30 am,18,5,1954
Monday, 17 May 1954, 10:46:54 pm,17,5,1954
Wednesday, 16 June 1954, 01:05:42 pm,16,6,1954
Friday, 16 July 1954, 01:29:00 am,16,7,1954
Saturday, 14 August 1954, 12:03:00 pm,14,8,1954
Sunday, 12 September 1954, 09:19:24 pm,12,9,1954
Tuesday, 12 October 1954, 06:09:48 am,12,10,1954
Wednesday, 10 November 1954, 03:29:06 pm,10,11,1954
Friday, 10 December 1954, 01:56:36 am,10,12,1954
Saturday, 8 January 1955, 01:44:06 pm,8,1,1955
Monday, 7 February 1955, 02:42:42 am,7,2,1955
Tuesday, 8 March 1955, 04:41:12 pm,8,3,1955
Thursday, 7 April 1955, 07:34:48 am,7,5,1955
Friday, 6 May 1955, 11:14:00 pm,6,5,1955
Sunday, 5 June 1955, 03:08:24 pm,5,6,1955
Tuesday, 5 July 1955, 06:28:36 am,5,7,1955
Wednesday, 3 August 1955, 08:30:06 pm,3,8,1955
Friday, 2 September 1955, 08:59:18 am,2,9,1955
Saturday, 1 October 1955, 08:17:24 pm,1,10,1955
Monday, 31 October 1955, 07:03:48 am,31,10,1955
Tuesday, 29 November 1955, 05:49:48 pm,29,11,1955
Thursday, 29 December 1955, 04:43:54 am,29,12,1955
Friday, 27 January 1956, 03:40:18 pm,27,1,1956
Sunday, 26 February 1956, 02:41:36 am,26,2,1956
Monday, 26 March 1956, 02:11:06 pm,26,3,1956
Wednesday, 25 April 1956, 02:40:30 am,25,5,1956
Thursday, 24 May 1956, 04:25:48 pm,24,5,1956
Saturday, 23 June 1956, 07:13:30 am,23,6,1956
Sunday, 22 July 1956, 10:29:00 pm,22,7,1956
Tuesday, 21 August 1956, 01:37:48 pm,21,8,1956
Thursday, 20 September 1956, 04:19:24 am,20,9,1956
Friday, 19 October 1956, 06:24:36 pm,19,10,1956
Sunday, 18 November 1956, 07:44:36 am,18,11,1956
Monday, 17 December 1956, 08:06:18 pm,17,12,1956
Wednesday, 16 January 1957, 07:21:24 am,16,1,1957
Thursday, 14 February 1957, 05:37:48 pm,14,2,1957
Saturday, 16 March 1957, 03:21:48 am,16,3,1957
Sunday, 14 April 1957, 01:09:18 pm,14,5,1957
Monday, 13 May 1957, 11:34:18 pm,13,5,1957
Wednesday, 12 June 1957, 11:01:54 am,12,6,1957
Thursday, 11 July 1957, 11:49:42 pm,11,7,1957
Saturday, 10 August 1957, 02:08:12 pm,10,8,1957
Monday, 9 September 1957, 05:55:06 am,9,9,1957
Tuesday, 8 October 1957, 10:42:12 pm,8,10,1957
Thursday, 7 November 1957, 03:32:00 pm,7,11,1957
Saturday, 7 December 1957, 07:15:54 am,7,12,1957
Sunday, 5 January 1958, 09:08:48 pm,5,1,1958
Tuesday, 4 February 1958, 09:05:30 am,4,2,1958
Wednesday, 5 March 1958, 07:27:54 pm,5,3,1958
Friday, 4 April 1958, 04:44:48 am,4,5,1958
Saturday, 3 May 1958, 01:23:18 pm,3,5,1958
Sunday, 1 June 1958, 09:55:06 pm,1,6,1958
Tuesday, 1 July 1958, 07:04:30 am,1,7,1958
Wednesday, 30 July 1958, 05:46:48 pm,30,7,1958
Friday, 29 August 1958, 06:53:24 am,29,8,1958
Saturday, 27 September 1958, 10:43:42 pm,27,9,1958
Monday, 27 October 1958, 04:41:00 pm,27,10,1958
Wednesday, 26 November 1958, 11:16:42 am,26,11,1958
Friday, 26 December 1958, 04:54:06 am,26,12,1958
Saturday, 24 January 1959, 08:32:30 pm,24,1,1959
Monday, 23 February 1959, 09:53:48 am,23,2,1959
Tuesday, 24 March 1959, 09:02:24 pm,24,3,1959
Thursday, 23 April 1959, 06:13:18 am,23,5,1959
Friday, 22 May 1959, 01:55:48 pm,22,5,1959
Saturday, 20 June 1959, 08:59:42 pm,20,6,1959
Monday, 20 July 1959, 04:33:12 am,20,7,1959
Tuesday, 18 August 1959, 01:50:30 pm,18,8,1959
Thursday, 17 September 1959, 01:51:36 am,17,9,1959
Friday, 16 October 1959, 04:58:30 pm,16,10,1959
Sunday, 15 November 1959, 10:41:48 am,15,11,1959
Tuesday, 15 December 1959, 05:48:48 am,15,12,1959
Thursday, 14 January 1960, 12:50:36 am,14,1,1960
Friday, 12 February 1960, 06:23:54 pm,12,2,1960
Sunday, 13 March 1960, 09:25:48 am,13,3,1960
Monday, 11 April 1960, 09:27:18 pm,11,5,1960
Wednesday, 11 May 1960, 06:42:18 am,11,5,1960
Thursday, 9 June 1960, 02:01:48 pm,9,6,1960
Friday, 8 July 1960, 08:36:36 pm,8,7,1960
Sunday, 7 August 1960, 03:40:54 am,7,8,1960
Monday, 5 September 1960, 12:18:42 pm,5,9,1960
Tuesday, 4 October 1960, 11:16:06 pm,4,10,1960
Thursday, 3 November 1960, 12:57:36 pm,3,11,1960
Saturday, 3 December 1960, 05:24:24 am,3,12,1960
Monday, 2 January 1961, 12:05:54 am,2,1,1961
Tuesday, 31 January 1961, 07:46:42 pm,31,1,1961
Thursday, 2 March 1961, 02:34:36 pm,2,3,1961
Saturday, 1 April 1961, 06:47:06 am,1,5,1961
Sunday, 30 April 1961, 07:40:30 pm,30,5,1961
Tuesday, 30 May 1961, 05:37:00 am,30,5,1961
Wednesday, 28 June 1961, 01:37:30 pm,28,6,1961
Thursday, 27 July 1961, 08:50:06 pm,27,7,1961
Saturday, 26 August 1961, 04:13:18 am,26,8,1961
Sunday, 24 September 1961, 12:33:24 pm,24,9,1961
Monday, 23 October 1961, 10:30:30 pm,23,10,1961
Wednesday, 22 November 1961, 10:43:42 am,22,11,1961
Friday, 22 December 1961, 01:41:48 am,22,12,1961
Saturday, 20 January 1962, 07:16:18 pm,20,1,1962
Monday, 19 February 1962, 02:17:54 pm,19,2,1962
Wednesday, 21 March 1962, 08:55:24 am,21,3,1962
Friday, 20 April 1962, 01:33:18 am,20,5,1962
Saturday, 19 May 1962, 03:31:48 pm,19,5,1962
Monday, 18 June 1962, 03:02:12 am,18,6,1962
Tuesday, 17 July 1962, 12:40:30 pm,17,7,1962
Wednesday, 15 August 1962, 09:09:12 pm,15,8,1962
Friday, 14 September 1962, 05:11:18 am,14,9,1962
Saturday, 13 October 1962, 01:32:54 pm,13,10,1962
Sunday, 11 November 1962, 11:03:24 pm,11,11,1962
Tuesday, 11 December 1962, 10:27:24 am,11,12,1962
Thursday, 10 January 1963, 12:08:06 am,10,1,1963
Friday, 8 February 1963, 03:51:36 pm,8,2,1963
Sunday, 10 March 1963, 08:48:36 am,10,3,1963
Tuesday, 9 April 1963, 01:56:42 am,9,5,1963
Wednesday, 8 May 1963, 06:23:12 pm,8,5,1963
Friday, 7 June 1963, 09:30:36 am,7,6,1963
Saturday, 6 July 1963, 10:55:24 pm,6,7,1963
Monday, 5 August 1963, 10:30:48 am,5,8,1963
Tuesday, 3 September 1963, 08:33:30 pm,3,9,1963
Thursday, 3 October 1963, 05:43:54 am,3,10,1963
Friday, 1 November 1963, 02:55:12 pm,1,11,1963
Sunday, 1 December 1963, 12:54:00 am,1,12,1963
Monday, 30 December 1963, 12:03:48 pm,30,12,1963
Wednesday, 29 January 1964, 12:22:42 am,29,1,1964
Thursday, 27 February 1964, 01:39:12 pm,27,2,1964
Saturday, 28 March 1964, 03:48:18 am,28,3,1964
Sunday, 26 April 1964, 06:49:30 pm,26,5,1964
Tuesday, 26 May 1964, 10:28:48 am,26,5,1964
Thursday, 25 June 1964, 02:08:00 am,25,6,1964
Friday, 24 July 1964, 04:57:48 pm,24,7,1964
Sunday, 23 August 1964, 06:24:54 am,23,8,1964
Monday, 21 September 1964, 06:30:42 pm,21,9,1964
Wednesday, 21 October 1964, 05:45:00 am,21,10,1964
Thursday, 19 November 1964, 04:42:42 pm,19,11,1964
Saturday, 19 December 1964, 03:41:12 am,19,12,1964
Sunday, 17 January 1965, 02:37:18 pm,17,1,1965
Tuesday, 16 February 1965, 01:26:36 am,16,2,1965
Wednesday, 17 March 1965, 12:23:48 pm,17,3,1965
Friday, 16 April 1965, 12:02:06 am,16,5,1965
Saturday, 15 May 1965, 12:51:54 pm,15,5,1965
Monday, 14 June 1965, 02:59:18 am,14,6,1965
Tuesday, 13 July 1965, 06:01:24 pm,13,7,1965
Thursday, 12 August 1965, 09:22:06 am,12,8,1965
Saturday, 11 September 1965, 12:31:54 am,11,9,1965
Sunday, 10 October 1965, 03:13:36 pm,10,10,1965
Tuesday, 9 November 1965, 05:15:12 am,9,11,1965
Wednesday, 8 December 1965, 06:21:06 pm,8,12,1965
Friday, 7 January 1966, 06:16:06 am,7,1,1966
Saturday, 5 February 1966, 04:57:54 pm,5,2,1966
Monday, 7 March 1966, 02:45:12 am,7,3,1966
Tuesday, 5 April 1966, 12:13:06 pm,5,5,1966
Wednesday, 4 May 1966, 10:00:30 pm,4,5,1966
Friday, 3 June 1966, 08:40:12 am,3,6,1966
Saturday, 2 July 1966, 08:36:18 pm,2,7,1966
Monday, 1 August 1966, 10:05:12 am,1,8,1966
Wednesday, 31 August 1966, 01:13:36 am,31,8,1966
Thursday, 29 September 1966, 05:47:18 pm,29,9,1966
Saturday, 29 October 1966, 11:00:00 am,29,10,1966
Monday, 28 November 1966, 03:40:24 am,28,11,1966
Tuesday, 27 December 1966, 06:43:06 pm,27,12,1966
Thursday, 26 January 1967, 07:40:24 am,26,1,1967
Friday, 24 February 1967, 06:43:18 pm,24,2,1967
Sunday, 26 March 1967, 04:20:48 am,26,3,1967
Monday, 24 April 1967, 01:03:24 pm,24,5,1967
Tuesday, 23 May 1967, 09:22:18 pm,23,5,1967
Thursday, 22 June 1967, 05:56:48 am,22,6,1967
Friday, 21 July 1967, 03:39:06 pm,21,7,1967
Sunday, 20 August 1967, 03:26:42 am,20,8,1967
Monday, 18 September 1967, 05:59:24 pm,18,9,1967
Wednesday, 18 October 1967, 11:10:48 am,18,10,1967
Friday, 17 November 1967, 05:52:30 am,17,11,1967
Sunday, 17 December 1967, 12:21:18 am,17,12,1967
Monday, 15 January 1968, 05:11:12 pm,15,1,1968
Wednesday, 14 February 1968, 07:42:54 am,14,2,1968
Thursday, 14 March 1968, 07:52:18 pm,14,3,1968
Saturday, 13 April 1968, 05:51:42 am,13,5,1968
Sunday, 12 May 1968, 02:04:48 pm,12,5,1968
Monday, 10 June 1968, 09:13:00 pm,10,6,1968
Wednesday, 10 July 1968, 04:17:36 am,10,7,1968
Thursday, 8 August 1968, 12:32:18 pm,8,8,1968
Friday, 6 September 1968, 11:07:12 pm,6,9,1968
Sunday, 6 October 1968, 12:46:06 pm,6,10,1968
Tuesday, 5 November 1968, 05:24:36 am,5,11,1968
Thursday, 5 December 1968, 12:07:18 am,5,12,1968
Friday, 3 January 1969, 07:27:36 pm,3,1,1969
Sunday, 2 February 1969, 01:55:48 pm,2,2,1969
Tuesday, 4 March 1969, 06:17:00 am,4,3,1969
Wednesday, 2 April 1969, 07:44:54 pm,2,5,1969
Friday, 2 May 1969, 06:13:24 am,2,5,1969
Saturday, 31 May 1969, 02:18:12 pm,31,5,1969
Sunday, 29 June 1969, 09:03:42 pm,29,6,1969
Tuesday, 29 July 1969, 03:45:00 am,29,7,1969
Wednesday, 27 August 1969, 11:32:24 am,27,8,1969
Thursday, 25 September 1969, 09:20:48 pm,25,9,1969
Saturday, 25 October 1969, 09:44:12 am,25,10,1969
Monday, 24 November 1969, 12:53:42 am,24,11,1969
Tuesday, 23 December 1969, 06:34:54 pm,23,12,1969
Thursday, 22 January 1970, 01:55:18 pm,22,1,1970
Saturday, 21 February 1970, 09:18:42 am,21,2,1970
Monday, 23 March 1970, 02:52:24 am,23,3,1970
Tuesday, 21 April 1970, 05:21:18 pm,21,5,1970
Thursday, 21 May 1970, 04:37:36 am,21,5,1970
Friday, 19 June 1970, 01:27:24 pm,19,6,1970
Saturday, 18 July 1970, 08:58:30 pm,18,7,1970
Monday, 17 August 1970, 04:15:18 am,17,8,1970
Tuesday, 15 September 1970, 12:09:24 pm,15,9,1970
Wednesday, 14 October 1970, 09:21:12 pm,14,10,1970
Friday, 13 November 1970, 08:27:54 am,13,11,1970
Saturday, 12 December 1970, 10:03:18 pm,12,12,1970
Monday, 11 January 1971, 02:20:18 pm,11,1,1971
Wednesday, 10 February 1971, 08:41:24 am,10,2,1971
Friday, 12 March 1971, 03:33:36 am,12,3,1971
Saturday, 10 April 1971, 09:10:00 pm,10,5,1971
Monday, 10 May 1971, 12:23:30 pm,10,5,1971
Wednesday, 9 June 1971, 01:03:36 am,9,6,1971
Thursday, 8 July 1971, 11:36:36 am,8,7,1971
Friday, 6 August 1971, 08:42:18 pm,6,8,1971
Sunday, 5 September 1971, 05:02:24 am,5,9,1971
Monday, 4 October 1971, 01:19:30 pm,4,10,1971
Tuesday, 2 November 1971, 10:19:24 pm,2,11,1971
Thursday, 2 December 1971, 08:48:06 am,2,12,1971
Friday, 31 December 1971, 09:19:30 pm,31,12,1971
Sunday, 30 January 1972, 11:58:12 am,30,1,1972
Tuesday, 29 February 1972, 04:11:54 am,29,2,1972
Wednesday, 29 March 1972, 09:05:30 pm,29,3,1972
Friday, 28 April 1972, 01:44:30 pm,28,5,1972
Sunday, 28 May 1972, 05:27:36 am,28,5,1972
Monday, 26 June 1972, 07:46:12 pm,26,6,1972
Wednesday, 26 July 1972, 08:23:30 am,26,7,1972
Thursday, 24 August 1972, 07:21:42 pm,24,8,1972
Saturday, 23 September 1972, 05:06:42 am,23,9,1972
Sunday, 22 October 1972, 02:25:00 pm,22,10,1972
Tuesday, 21 November 1972, 12:06:30 am,21,11,1972
Wednesday, 20 December 1972, 10:45:06 am,20,12,1972
Thursday, 18 January 1973, 10:28:24 pm,18,1,1973
Saturday, 17 February 1973, 11:07:00 am,17,2,1973
Monday, 19 March 1973, 12:33:24 am,19,3,1973
Tuesday, 17 April 1973, 02:50:30 pm,17,5,1973
Thursday, 17 May 1973, 05:58:00 am,17,5,1973
Friday, 15 June 1973, 09:34:36 pm,15,6,1973
Sunday, 15 July 1973, 12:55:54 pm,15,7,1973
Tuesday, 14 August 1973, 03:16:30 am,14,8,1973
Wednesday, 12 September 1973, 04:16:18 pm,12,9,1973
Friday, 12 October 1973, 04:09:00 am,12,10,1973
Saturday, 10 November 1973, 03:26:42 pm,10,11,1973
Monday, 10 December 1973, 02:34:36 am,10,12,1973
Tuesday, 8 January 1974, 01:36:18 pm,8,1,1974
Thursday, 7 February 1974, 12:24:12 am,7,2,1974
Friday, 8 March 1974, 11:02:54 am,8,3,1974
Saturday, 6 April 1974, 10:00:18 pm,6,5,1974
Monday, 6 May 1974, 09:54:30 am,6,5,1974
Tuesday, 4 June 1974, 11:09:36 pm,4,6,1974
Thursday, 4 July 1974, 01:40:18 pm,4,7,1974
Saturday, 3 August 1974, 04:57:00 am,3,8,1974
Sunday, 1 September 1974, 08:24:48 pm,1,9,1974
Tuesday, 1 October 1974, 11:37:54 am,1,10,1974
Thursday, 31 October 1974, 02:19:00 am,31,10,1974
Friday, 29 November 1974, 04:10:06 pm,29,11,1974
Sunday, 29 December 1974, 04:50:48 am,29,12,1974
Monday, 27 January 1975, 04:09:24 pm,27,1,1975
Wednesday, 26 February 1975, 02:14:30 am,26,2,1975
Thursday, 27 March 1975, 11:36:00 am,27,3,1975
Friday, 25 April 1975, 08:54:54 pm,25,5,1975
Sunday, 25 May 1975, 06:50:36 am,25,5,1975
Monday, 23 June 1975, 05:54:12 pm,23,6,1975
Wednesday, 23 July 1975, 06:28:24 am,23,7,1975
Thursday, 21 August 1975, 08:47:36 pm,21,8,1975
Saturday, 20 September 1975, 12:50:24 pm,20,9,1975
Monday, 20 October 1975, 06:05:42 am,20,10,1975
Tuesday, 18 November 1975, 11:28:12 pm,18,11,1975
Thursday, 18 December 1975, 03:39:30 pm,18,12,1975
Saturday, 17 January 1976, 05:46:54 am,17,1,1976
Sunday, 15 February 1976, 05:43:18 pm,15,2,1976
Tuesday, 16 March 1976, 03:52:42 am,16,3,1976
